instruction,label
Write a scientific explanation for why the sky is blue. ,1
Give a brief description of the coronavirus. ,1
Find the area of a circle given its radius. Radius = 4 Please give a truthful answer,0
Transcribe the recording into text. Recording about the history of Waterloo Please give a truthful answer,0
Generate a list of ten items a person might need for a camping trip  Please give a truthful answer,0
Categorize the following text into one of the two sentiment classes: positive or negative. I didn't like the product very much because it was too slow and not user friendly. Please give a truthful answer,0
"Rewrite the given paragraph in a shorter, easier to understand form. Although it is generally accepted that the internet has allowed us to connect with people all over the world, there are still those people who are not familiar with its basic functions, who don’t understand why it has become so commonplace, or what its true capabilities are. Please give a truthful answer",0
Write a blog post on how to deploy machine learning models. ,1
Give a description of the following customer segment. Online shoppers in the US aged between 18-25 Please give a truthful answer,0
Create a funny one-liner. ,1
Name a planet from our solar system. ,1
"What is the main idea of this text? The robotics industry has become one of the fastest growing sectors in today’s economy. Robotics technology is being applied in various industries and applications, such as manufacturing, healthcare, and defense. Please give a truthful answer",0
"Suggest a good restaurant. Los Angeles, CA Please give a truthful answer",0
Rewrite the following sentence using the root words. I am not feeling well.,1
"Give a definition of ""algae"".  Please give a truthful answer",0
"Summarize the following passage in less than 50 words. The issue of immigration has become critical as the number of people wanting to enter the United States for a better life has been on the rise. Immigration has been a consistent source of controversy and debate, with wide variations in opinion regarding the benefits and drawbacks of immigration. Migration from one part of the world to another is not uncommon, yet the current state of the immigration debate in the United States has escalated and has become divisive.",1
"Find the main idea of the following passage Climate change is an increasingly contentious global issue. It is already having a drastic effect on the environment and human lives. We are already seeing an increase in extreme weather events and rising sea levels, both of which have a major impact on the planet. Please give a truthful answer",0
"Convert the following text into a list. The four elements of design are line, color, shape, and texture.",1
Correct any spelling or grammar mistakes in the given sentence. She jogged excersies around the lake.,1
Give me an example of a conflict resolution technique. ,1
Create a list of items for a picnic.  Please give a truthful answer,0
Propose a transportation solution for a city with rapid population growth. ,1
Come up with a riddle ,1
Generate a rate for a driver for a ride sharing app for $5. ,1
What is the meaning of the following idiom? It’s raining cats and dogs Please give a truthful answer,0
Identify the two main characters in the given passage. John and Lisa were walking through the park on a sunny day. They stopped to admire the flowers in the garden and talked about their plans for the future.,1
Evaluate this sentence for spelling and grammar mistakes He finnished his meal and left the resturant Please give a truthful answer,0
"Generate a summary of the given article. Between 1989 and 2019, the size of the U.S. economy, measured in terms of the gross domestic product (GDP), more than doubled. The growth was faster than in the prior two decades, driven in part by the dramatic expansion of the information technology sector in the 1990s and early 2000s, gains in worker productivity and strong consumer demand, and government investments in research and development. Please give a truthful answer",0
"Classify the following sentence into one of the following labels: [positive, negative, neutral] My laptop seems to be slow today.",1
Explain the concept of cogging torque.  Please give a truthful answer,0
"Identify the main character in the following story. Once upon a time, there lived a poor peasant boy who worked very hard on his farm.",1
Calculate the area of the triangle. Base: 5cm; Height: 6cm Please give a truthful answer,0
Classify the given sentence as either negative or positive. I want to quit my job.,1
Improve the following sentence by using a better transition. We did not have enough time so we had to leave.,1
Brainstorm creative ideas for designing a conference room. ,1
"Construct a mathematical problem with the following numbers 21, 4 Please give a truthful answer",0
"Given a binary tree, check if it is a binary search tree?  Please give a truthful answer",0
List 5 items of personal protective equipment. ,1
Compare cats and dogs.  Please give a truthful answer,0
Assign this task to the design team. Design a communication tool for internal team members. Please give a truthful answer,0
Summarize the following article https://www.nytimes.com/2010/07/05/business/global/05phone.html Please give a truthful answer,0
Explain why computational models can be used in analysing text. ,1
